Organisational Family,Organisation,Category,Service Type, Price 
Cabinet Office,Cabinet Office,Professional Services Other,Clinical Support Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Environmental Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Financial Services," £7,579,962 "
Cabinet Office,Cabinet Office,Professional Services Other,Interpretation & Translation Services, £-   
Cabinet Office,Cabinet Office,Professional Services Other,Learning & Development Services," £5,109,464 "
Cabinet Office,Cabinet Office,Professional Services Other,Legal Services," £2,580,731 "
Cabinet Office,Cabinet Office,Professional Services Other,Operational Services," £33,311,310 "
Cabinet Office,Cabinet Office,Professional Services Other,Technical Services," £32,232 "
Cabinet Office,Cabinet Office,Professional Services Other,Uncategorised, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Admin & Clerical," £1,874,432 "
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Interim Managers, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Specialist Contractors, £-   
Cabinet Office,Cabinet Office,Professional Services Temporary Staff,Uncategorised, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Finance Consultancy," £403,579 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £440,102 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,IT/IS Consultancy," £4,273,813 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Legal Consultancy," £477,337 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Marketing & Communications Consultancy," £1,221,214 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Org & Change Management Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,PPM Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Procurement Consultancy, £-   
Cabinet Office,Cabinet Office,Professional Services Consultancy,Property & Construction Consultancy," £616,483 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Strategy Consultancy," £3,188,335 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Technical Consultancy," £8,397,416 "
Cabinet Office,Cabinet Office,Professional Services Consultancy,Uncategorised, £-   
Cabinet Office,Cabinet Office,Personnel Related,Events Admissions," £95,363 "
Cabinet Office,Cabinet Office,Personnel Related,Staff Childcare," £103,895 "
Cabinet Office,Cabinet Office,Personnel Related,Staff Health & Safety, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Medical Care, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Relocation, £-   
Cabinet Office,Cabinet Office,Personnel Related,Staff Subscriptions," £12,402 "
Cabinet Office,Cabinet Office,Personnel Related,Uncategorised, £-   
Cabinet Office,Cabinet Office,Social Care,Adult Social Care, £-   
Cabinet Office,Cabinet Office,Social Care,Child Social Care, £-   
Cabinet Office,Cabinet Office,Social Care,Educational Programmes, £-   
Cabinet Office,Cabinet Office,Social Care,Emergency Services, £-   
Cabinet Office,Cabinet Office,Social Care,Entertainment Services, £-   
Cabinet Office,Cabinet Office,Social Care,Legal Aid, £-   
Cabinet Office,Cabinet Office,Social Care,Operation of Custodial Facilities, £-   
Cabinet Office,Cabinet Office,Social Care,Transport Provision, £-   
Cabinet Office,Cabinet Office,Social Care,Welfare to Work, £-   
Cabinet Office,Cabinet Office,Social Care,World Programmes, £-   
Cabinet Office,Cabinet Office,Social Care,Uncategorised, £-   
Cabinet Office,Cabinet Office,Marketing & Media,Advertising," £22,202 "
Cabinet Office,Cabinet Office,Marketing & Media,Marketing," £2,173,900 "
Cabinet Office,Cabinet Office,Marketing & Media,Promotion," £1,200,860 "
Cabinet Office,Cabinet Office,Marketing & Media,Uncategorised, £-   
Cabinet Office,Cabinet Office,Facilities,Accommodation Services, £-   
Cabinet Office,Cabinet Office,Facilities,Building Management," £35,990,881 "
Cabinet Office,Cabinet Office,Facilities,Catering," £274,890 "
Cabinet Office,Cabinet Office,Facilities,Cleaning, £-   
Cabinet Office,Cabinet Office,Facilities,Food, £-   
Cabinet Office,Cabinet Office,Facilities,Office Furniture," £134,888 "
Cabinet Office,Cabinet Office,Facilities,Security," £7,988 "
Cabinet Office,Cabinet Office,Facilities,Uncategorised, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Drugs & Biologicals, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Medical & Surgical Consumables, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Medical & Surgical Equipment, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Pathology, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Patients Appliances, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Radiological & Diagnostic, £-   
Cabinet Office,Cabinet Office,Clinical & Medical,Uncategorised, £-   
Cabinet Office,Cabinet Office,Office Solutions,Office Consumables, £-   
Cabinet Office,Cabinet Office,Office Solutions,Office Machines," £75,325 "
Cabinet Office,Cabinet Office,Office Solutions,Office Services, £-   
Cabinet Office,Cabinet Office,Office Solutions,Office Supplies," £604,226 "
Cabinet Office,Cabinet Office,Office Solutions,Post & Courier," £514,533 "
Cabinet Office,Cabinet Office,Office Solutions,Print, £-   
Cabinet Office,Cabinet Office,Office Solutions,Records Storage, £-   
Cabinet Office,Cabinet Office,Office Solutions,Reprographics," £326,130 "
Cabinet Office,Cabinet Office,Office Solutions,Uncategorised, £-   
Cabinet Office,Cabinet Office,Construction,Building Repair & Maintenance, £-   
Cabinet Office,Cabinet Office,Construction,Construction Service Providers, £-   
Cabinet Office,Cabinet Office,Construction,Construction Supplies, £-   
Cabinet Office,Cabinet Office,Construction,Design & Build, £-   
Cabinet Office,Cabinet Office,Construction,Main Contractors, £-   
Cabinet Office,Cabinet Office,Construction,Prime Contractors, £-   
Cabinet Office,Cabinet Office,Construction,Uncategorised, £-   
Cabinet Office,Cabinet Office,ICT,Hardware," £12,613,227 "
Cabinet Office,Cabinet Office,ICT,Maintenance & Support," £12,305,328 "
Cabinet Office,Cabinet Office,ICT,Managed / Outsourced Services," £332,673 "
Cabinet Office,Cabinet Office,ICT,Networking, £-   
Cabinet Office,Cabinet Office,ICT,Software," £1,624,391 "
Cabinet Office,Cabinet Office,ICT,Systems Delivery, £-   
Cabinet Office,Cabinet Office,ICT,Telecoms," £19,919,581 "
Cabinet Office,Cabinet Office,ICT,Uncategorised, £-   
Cabinet Office,Cabinet Office,Logistics,Transport, £-   
Cabinet Office,Cabinet Office,Logistics,Warehousing & Storage, £-   
Cabinet Office,Cabinet Office,Logistics,Uncategorised, £-   
Cabinet Office,Cabinet Office,Travel,Air," £7,178,544 "
Cabinet Office,Cabinet Office,Travel,Booking Services, £-   
Cabinet Office,Cabinet Office,Travel,Coach, £-   
Cabinet Office,Cabinet Office,Travel,Events Organisation," £2,425,957 "
Cabinet Office,Cabinet Office,Travel,Ferry, £-   
Cabinet Office,Cabinet Office,Travel,Hotels," £400,000 "
Cabinet Office,Cabinet Office,Travel,Rail," £1,149,756 "
Cabinet Office,Cabinet Office,Travel,Taxi," £600,000 "
Cabinet Office,Cabinet Office,Travel,Vehicle Hire," £1,670,780 "
Cabinet Office,Cabinet Office,Travel,Uncategorised, £-   
Cabinet Office,Cabinet Office,Defence,Airborne Goods and Services, £-   
Cabinet Office,Cabinet Office,Defence,Marine Goods and Services, £-   
Cabinet Office,Cabinet Office,Defence,Military Systems, £-   
Cabinet Office,Cabinet Office,Defence,Munitions, £-   
Cabinet Office,Cabinet Office,Defence,Wheeled / Tracked Goods and Services, £-   
Cabinet Office,Cabinet Office,Defence,Uncategorised, £-   
Cabinet Office,Cabinet Office,Energy & Utilities,Electricity," £1,738,429 "
Cabinet Office,Cabinet Office,Energy & Utilities,Gas," £106,702 "
Cabinet Office,Cabinet Office,Energy & Utilities,Solid Fuels, £745 
Cabinet Office,Cabinet Office,Energy & Utilities,Water," £152,868 "
Cabinet Office,Cabinet Office,Energy & Utilities,Uncategorised, £-   
Cabinet Office,Cabinet Office,Fuels Lubricants & Gases,Fuels, £-   
Cabinet Office,Cabinet Office,Fuels Lubricants & Gases,Gases, £-   
Cabinet Office,Cabinet Office,Fuels Lubricants & Gases,Lubricants, £-   
Cabinet Office,Cabinet Office,Fuels Lubricants & Gases,Uncategorised, £-   
Cabinet Office,Cabinet Office,Vehicles,Fleet Management, £-   
Cabinet Office,Cabinet Office,Vehicles,Leasing, £-   
Cabinet Office,Cabinet Office,Vehicles,Purchase, £-   
Cabinet Office,Cabinet Office,Vehicles,Vehicle Disposal, £-   
Cabinet Office,Cabinet Office,Vehicles,Vehicle Maintenance," £10,388 "
Cabinet Office,Cabinet Office,Vehicles,Uncategorised, £-   
Cabinet Office,Cabinet Office,Operational Goods,Animal Related Goods, £-   
Cabinet Office,Cabinet Office,Operational Goods,Art & Exhibits, £-   
Cabinet Office,Cabinet Office,Operational Goods,Clothing," £3,492 "
Cabinet Office,Cabinet Office,Operational Goods,Domestic Goods," £1,925,663 "
Cabinet Office,Cabinet Office,Operational Goods,Environmental Materials, £-   
Cabinet Office,Cabinet Office,Operational Goods,Learning & Development Materials," £1,124,583 "
Cabinet Office,Cabinet Office,Operational Goods,Non-Catering Vending Machines, £-   
Cabinet Office,Cabinet Office,Operational Goods,Uncategorised, £-   
Cabinet Office,Cabinet Office,Engineering Goods,Industrial, £-   
Cabinet Office,Cabinet Office,Engineering Goods,Non-Medical Chemicals, £-   
Cabinet Office,Cabinet Office,Engineering Goods,Tools, £-   
Cabinet Office,Cabinet Office,Engineering Goods,Uncategorised, £-   
Cabinet Office,Cabinet Office,Waste Management,Waste Management Materials, £-   
Cabinet Office,Cabinet Office,Waste Management,Waste Management Services, £-   
Cabinet Office,Cabinet Office,Waste Management,Uncategorised, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Clinical Support Services, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Environmental Services, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Financial Services," £111,030 "
Cabinet Office,Capacity Builders,Professional Services Other,Interpretation & Translation Services, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Learning & Development Services," £24,132 "
Cabinet Office,Capacity Builders,Professional Services Other,Legal Services," £110,019 "
Cabinet Office,Capacity Builders,Professional Services Other,Operational Services, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Technical Services, £-   
Cabinet Office,Capacity Builders,Professional Services Other,Uncategorised, £-   
Cabinet Office,Capacity Builders,Professional Services Temporary Staff,Admin & Clerical, £-   
Cabinet Office,Capacity Builders,Professional Services Temporary Staff,Interim Managers," £582,773 "
Cabinet Office,Capacity Builders,Professional Services Temporary Staff,Specialist Contractors, £-   
Cabinet Office,Capacity Builders,Professional Services Temporary Staff,Uncategorised, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Finance Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £149,623 "
Cabinet Office,Capacity Builders,Professional Services Consultancy,IT/IS Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Legal Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Org & Change Management Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,PPM Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Procurement Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Property & Construction Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Strategy Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Technical Consultancy, £-   
Cabinet Office,Capacity Builders,Professional Services Consultancy,Uncategorised, £-   
Cabinet Office,Capacity Builders,Personnel Related,Events Admissions, £-   
Cabinet Office,Capacity Builders,Personnel Related,Staff Childcare, £-   
Cabinet Office,Capacity Builders,Personnel Related,Staff Health & Safety, £-   
Cabinet Office,Capacity Builders,Personnel Related,Staff Medical Care, £-   
Cabinet Office,Capacity Builders,Personnel Related,Staff Relocation, £-   
Cabinet Office,Capacity Builders,Personnel Related,Staff Subscriptions, £161 
Cabinet Office,Capacity Builders,Personnel Related,Uncategorised, £-   
Cabinet Office,Capacity Builders,Social Care,Adult Social Care, £-   
Cabinet Office,Capacity Builders,Social Care,Child Social Care, £-   
Cabinet Office,Capacity Builders,Social Care,Educational Programmes, £-   
Cabinet Office,Capacity Builders,Social Care,Emergency Services, £-   
Cabinet Office,Capacity Builders,Social Care,Entertainment Services, £-   
Cabinet Office,Capacity Builders,Social Care,Legal Aid, £-   
Cabinet Office,Capacity Builders,Social Care,Operation of Custodial Facilities, £-   
Cabinet Office,Capacity Builders,Social Care,Transport Provision, £-   
Cabinet Office,Capacity Builders,Social Care,Welfare to Work, £-   
Cabinet Office,Capacity Builders,Social Care,World Programmes, £-   
Cabinet Office,Capacity Builders,Social Care,Uncategorised, £-   
Cabinet Office,Capacity Builders,Marketing & Media,Advertising," £100,828 "
Cabinet Office,Capacity Builders,Marketing & Media,Marketing," £56,439 "
Cabinet Office,Capacity Builders,Marketing & Media,Promotion," £29,869 "
Cabinet Office,Capacity Builders,Marketing & Media,Uncategorised, £-   
Cabinet Office,Capacity Builders,Facilities,Accommodation Services, £-   
Cabinet Office,Capacity Builders,Facilities,Building Management," £130,345 "
Cabinet Office,Capacity Builders,Facilities,Catering," £2,649 "
Cabinet Office,Capacity Builders,Facilities,Cleaning," £8,361 "
Cabinet Office,Capacity Builders,Facilities,Food, £-   
Cabinet Office,Capacity Builders,Facilities,Office Furniture," £54,777 "
Cabinet Office,Capacity Builders,Facilities,Security," £8,793 "
Cabinet Office,Capacity Builders,Facilities,Uncategorised, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Drugs & Biologicals, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Medical & Surgical Consumables, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Medical & Surgical Equipment, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Pathology, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Patients Appliances, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Radiological & Diagnostic, £-   
Cabinet Office,Capacity Builders,Clinical & Medical,Uncategorised, £-   
Cabinet Office,Capacity Builders,Office Solutions,Office Consumables," £26,392 "
Cabinet Office,Capacity Builders,Office Solutions,Office Machines," £1,993 "
Cabinet Office,Capacity Builders,Office Solutions,Office Services, £-   
Cabinet Office,Capacity Builders,Office Solutions,Office Supplies," £10,735 "
Cabinet Office,Capacity Builders,Office Solutions,Post & Courier," £4,458 "
Cabinet Office,Capacity Builders,Office Solutions,Print," £25,882 "
Cabinet Office,Capacity Builders,Office Solutions,Records Storage, £-   
Cabinet Office,Capacity Builders,Office Solutions,Reprographics, £-   
Cabinet Office,Capacity Builders,Office Solutions,Uncategorised, £-   
Cabinet Office,Capacity Builders,Construction,Building Repair & Maintenance, £-   
Cabinet Office,Capacity Builders,Construction,Construction Service Providers, £-   
Cabinet Office,Capacity Builders,Construction,Construction Supplies, £-   
Cabinet Office,Capacity Builders,Construction,Design & Build, £-   
Cabinet Office,Capacity Builders,Construction,Main Contractors, £-   
Cabinet Office,Capacity Builders,Construction,Prime Contractors, £-   
Cabinet Office,Capacity Builders,Construction,Uncategorised, £-   
Cabinet Office,Capacity Builders,ICT,Hardware," £124,919 "
Cabinet Office,Capacity Builders,ICT,Maintenance & Support," £55,565 "
Cabinet Office,Capacity Builders,ICT,Managed / Outsourced Services, £-   
Cabinet Office,Capacity Builders,ICT,Networking, £-   
Cabinet Office,Capacity Builders,ICT,Software," £70,640 "
Cabinet Office,Capacity Builders,ICT,Systems Delivery, £-   
Cabinet Office,Capacity Builders,ICT,Telecoms," £74,646 "
Cabinet Office,Capacity Builders,ICT,Uncategorised, £-   
Cabinet Office,Capacity Builders,Logistics,Transport, £-   
Cabinet Office,Capacity Builders,Logistics,Warehousing & Storage, £-   
Cabinet Office,Capacity Builders,Logistics,Uncategorised, £-   
Cabinet Office,Capacity Builders,Travel,Air, £-   
Cabinet Office,Capacity Builders,Travel,Booking Services," £30,391 "
Cabinet Office,Capacity Builders,Travel,Coach, £-   
Cabinet Office,Capacity Builders,Travel,Events Organisation, £-   
Cabinet Office,Capacity Builders,Travel,Ferry, £-   
Cabinet Office,Capacity Builders,Travel,Hotels," £10,704 "
Cabinet Office,Capacity Builders,Travel,Rail," £52,403 "
Cabinet Office,Capacity Builders,Travel,Taxi, £-   
Cabinet Office,Capacity Builders,Travel,Vehicle Hire, £-   
Cabinet Office,Capacity Builders,Travel,Uncategorised, £-   
Cabinet Office,Capacity Builders,Defence,Airborne Goods and Services, £-   
Cabinet Office,Capacity Builders,Defence,Marine Goods and Services, £-   
Cabinet Office,Capacity Builders,Defence,Military Systems, £-   
Cabinet Office,Capacity Builders,Defence,Munitions, £-   
Cabinet Office,Capacity Builders,Defence,Wheeled / Tracked Goods and Services, £-   
Cabinet Office,Capacity Builders,Defence,Uncategorised, £-   
Cabinet Office,Capacity Builders,Energy & Utilities,Electricity," £49,164 "
Cabinet Office,Capacity Builders,Energy & Utilities,Gas, £-   
Cabinet Office,Capacity Builders,Energy & Utilities,Solid Fuels, £-   
Cabinet Office,Capacity Builders,Energy & Utilities,Water, £-   
Cabinet Office,Capacity Builders,Energy & Utilities,Uncategorised, £-   
Cabinet Office,Capacity Builders,Fuels Lubricants & Gases,Fuels, £-   
Cabinet Office,Capacity Builders,Fuels Lubricants & Gases,Gases, £-   
Cabinet Office,Capacity Builders,Fuels Lubricants & Gases,Lubricants, £-   
Cabinet Office,Capacity Builders,Fuels Lubricants & Gases,Uncategorised, £-   
Cabinet Office,Capacity Builders,Vehicles,Fleet Management, £-   
Cabinet Office,Capacity Builders,Vehicles,Leasing, £-   
Cabinet Office,Capacity Builders,Vehicles,Purchase, £-   
Cabinet Office,Capacity Builders,Vehicles,Vehicle Disposal, £-   
Cabinet Office,Capacity Builders,Vehicles,Vehicle Maintenance, £-   
Cabinet Office,Capacity Builders,Vehicles,Uncategorised, £-   
Cabinet Office,Capacity Builders,Operational Goods,Animal Related Goods, £-   
Cabinet Office,Capacity Builders,Operational Goods,Art & Exhibits, £-   
Cabinet Office,Capacity Builders,Operational Goods,Clothing, £-   
Cabinet Office,Capacity Builders,Operational Goods,Domestic Goods, £-   
Cabinet Office,Capacity Builders,Operational Goods,Environmental Materials, £-   
Cabinet Office,Capacity Builders,Operational Goods,Learning & Development Materials, £-   
Cabinet Office,Capacity Builders,Operational Goods,Non-Catering Vending Machines, £-   
Cabinet Office,Capacity Builders,Operational Goods,Uncategorised, £-   
Cabinet Office,Capacity Builders,Engineering Goods,Industrial, £-   
Cabinet Office,Capacity Builders,Engineering Goods,Non-Medical Chemicals, £-   
Cabinet Office,Capacity Builders,Engineering Goods,Tools, £-   
Cabinet Office,Capacity Builders,Engineering Goods,Uncategorised, £-   
Cabinet Office,Capacity Builders,Waste Management,Waste Management Materials, £-   
Cabinet Office,Capacity Builders,Waste Management,Waste Management Services, £-   
Cabinet Office,Capacity Builders,Waste Management,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Clinical Support Services, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Environmental Services, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Financial Services, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Interpretation & Translation Services, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Learning & Development Services," £23,487 "
Cabinet Office,Commission for the Compact,Professional Services Other,Legal Services," £13,643 "
Cabinet Office,Commission for the Compact,Professional Services Other,Operational Services," £241,395 "
Cabinet Office,Commission for the Compact,Professional Services Other,Technical Services, £-   
Cabinet Office,Commission for the Compact,Professional Services Other,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Professional Services Temporary Staff,Admin & Clerical," £18,662 "
Cabinet Office,Commission for the Compact,Professional Services Temporary Staff,Interim Managers, £-   
Cabinet Office,Commission for the Compact,Professional Services Temporary Staff,Specialist Contractors," £11,165 "
Cabinet Office,Commission for the Compact,Professional Services Temporary Staff,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Finance Consultancy," £29,487 "
Cabinet Office,Commission for the Compact,Professional Services Consultancy,"Human Resource, Training & Education Consultancy"," £2,350 "
Cabinet Office,Commission for the Compact,Professional Services Consultancy,IT/IS Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Legal Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Marketing & Communications Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Org & Change Management Consultancy," £22,181 "
Cabinet Office,Commission for the Compact,Professional Services Consultancy,PPM Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Procurement Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Property & Construction Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Strategy Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Technical Consultancy, £-   
Cabinet Office,Commission for the Compact,Professional Services Consultancy,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Personnel Related,Events Admissions," £19,593 "
Cabinet Office,Commission for the Compact,Personnel Related,Staff Childcare, £-   
Cabinet Office,Commission for the Compact,Personnel Related,Staff Health & Safety," £2,322 "
Cabinet Office,Commission for the Compact,Personnel Related,Staff Medical Care, £-   
Cabinet Office,Commission for the Compact,Personnel Related,Staff Relocation, £-   
Cabinet Office,Commission for the Compact,Personnel Related,Staff Subscriptions, £554 
Cabinet Office,Commission for the Compact,Personnel Related,Uncategorised," £47,307 "
Cabinet Office,Commission for the Compact,Social Care,Adult Social Care, £-   
Cabinet Office,Commission for the Compact,Social Care,Child Social Care, £-   
Cabinet Office,Commission for the Compact,Social Care,Educational Programmes, £-   
Cabinet Office,Commission for the Compact,Social Care,Emergency Services, £-   
Cabinet Office,Commission for the Compact,Social Care,Entertainment Services, £-   
Cabinet Office,Commission for the Compact,Social Care,Legal Aid, £-   
Cabinet Office,Commission for the Compact,Social Care,Operation of Custodial Facilities, £-   
Cabinet Office,Commission for the Compact,Social Care,Transport Provision, £-   
Cabinet Office,Commission for the Compact,Social Care,Welfare to Work, £-   
Cabinet Office,Commission for the Compact,Social Care,World Programmes, £-   
Cabinet Office,Commission for the Compact,Social Care,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Marketing & Media,Advertising," £8,445 "
Cabinet Office,Commission for the Compact,Marketing & Media,Marketing," £83,200 "
Cabinet Office,Commission for the Compact,Marketing & Media,Promotion," £33,019 "
Cabinet Office,Commission for the Compact,Marketing & Media,Uncategorised," £5,508 "
Cabinet Office,Commission for the Compact,Facilities,Accommodation Services," £108,827 "
Cabinet Office,Commission for the Compact,Facilities,Building Management," £22,808 "
Cabinet Office,Commission for the Compact,Facilities,Catering," £12,198 "
Cabinet Office,Commission for the Compact,Facilities,Cleaning," £7,229 "
Cabinet Office,Commission for the Compact,Facilities,Food, £-   
Cabinet Office,Commission for the Compact,Facilities,Office Furniture, £-   
Cabinet Office,Commission for the Compact,Facilities,Security, £-   
Cabinet Office,Commission for the Compact,Facilities,Uncategorised," £2,180 "
Cabinet Office,Commission for the Compact,Clinical & Medical,Drugs & Biologicals, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Medical & Surgical Consumables, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Medical & Surgical Equipment, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Pathology, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Patients Appliances, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Radiological & Diagnostic, £-   
Cabinet Office,Commission for the Compact,Clinical & Medical,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Office Solutions,Office Consumables," £1,232 "
Cabinet Office,Commission for the Compact,Office Solutions,Office Machines," £15,368 "
Cabinet Office,Commission for the Compact,Office Solutions,Office Services, £-   
Cabinet Office,Commission for the Compact,Office Solutions,Office Supplies," £22,622 "
Cabinet Office,Commission for the Compact,Office Solutions,Post & Courier," £6,792 "
Cabinet Office,Commission for the Compact,Office Solutions,Print," £40,251 "
Cabinet Office,Commission for the Compact,Office Solutions,Records Storage, £-   
Cabinet Office,Commission for the Compact,Office Solutions,Reprographics, £-   
Cabinet Office,Commission for the Compact,Office Solutions,Uncategorised, £97 
Cabinet Office,Commission for the Compact,Construction,Building Repair & Maintenance, £-   
Cabinet Office,Commission for the Compact,Construction,Construction Service Providers, £-   
Cabinet Office,Commission for the Compact,Construction,Construction Supplies, £-   
Cabinet Office,Commission for the Compact,Construction,Design & Build, £-   
Cabinet Office,Commission for the Compact,Construction,Main Contractors, £-   
Cabinet Office,Commission for the Compact,Construction,Prime Contractors, £-   
Cabinet Office,Commission for the Compact,Construction,Uncategorised, £-   
Cabinet Office,Commission for the Compact,ICT,Hardware," £12,881 "
Cabinet Office,Commission for the Compact,ICT,Maintenance & Support, £107 
Cabinet Office,Commission for the Compact,ICT,Managed / Outsourced Services," £20,884 "
Cabinet Office,Commission for the Compact,ICT,Networking, £-   
Cabinet Office,Commission for the Compact,ICT,Software," £29,400 "
Cabinet Office,Commission for the Compact,ICT,Systems Delivery," £258,865 "
Cabinet Office,Commission for the Compact,ICT,Telecoms," £3,312 "
Cabinet Office,Commission for the Compact,ICT,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Logistics,Transport, £-   
Cabinet Office,Commission for the Compact,Logistics,Warehousing & Storage, £-   
Cabinet Office,Commission for the Compact,Logistics,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Travel,Air, £-   
Cabinet Office,Commission for the Compact,Travel,Booking Services, £-   
Cabinet Office,Commission for the Compact,Travel,Coach, £-   
Cabinet Office,Commission for the Compact,Travel,Events Organisation, £-   
Cabinet Office,Commission for the Compact,Travel,Ferry, £-   
Cabinet Office,Commission for the Compact,Travel,Hotels," £12,232 "
Cabinet Office,Commission for the Compact,Travel,Rail," £56,655 "
Cabinet Office,Commission for the Compact,Travel,Taxi," £1,642 "
Cabinet Office,Commission for the Compact,Travel,Vehicle Hire, £453 
Cabinet Office,Commission for the Compact,Travel,Uncategorised," £2,470 "
Cabinet Office,Commission for the Compact,Defence,Airborne Goods and Services, £-   
Cabinet Office,Commission for the Compact,Defence,Marine Goods and Services, £-   
Cabinet Office,Commission for the Compact,Defence,Military Systems, £-   
Cabinet Office,Commission for the Compact,Defence,Munitions, £-   
Cabinet Office,Commission for the Compact,Defence,Wheeled / Tracked Goods and Services, £-   
Cabinet Office,Commission for the Compact,Defence,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Energy & Utilities,Electricity," £9,817 "
Cabinet Office,Commission for the Compact,Energy & Utilities,Gas, £-   
Cabinet Office,Commission for the Compact,Energy & Utilities,Solid Fuels, £-   
Cabinet Office,Commission for the Compact,Energy & Utilities,Water, £-   
Cabinet Office,Commission for the Compact,Energy & Utilities,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Fuels Lubricants & Gases,Fuels, £-   
Cabinet Office,Commission for the Compact,Fuels Lubricants & Gases,Gases, £-   
Cabinet Office,Commission for the Compact,Fuels Lubricants & Gases,Lubricants, £-   
Cabinet Office,Commission for the Compact,Fuels Lubricants & Gases,Uncategorised, £-   
Cabinet Office,Commission for the Compact,Vehicles,Fleet Management, £-   
Cabinet Office,Commission for the Compact,Vehicles,Leasing, £-   
Cabinet Office,Commission for the Compact,Vehicles,Purchase, £-   
Cabinet Office,Commission for the Compact,Vehicles,Vehicle Disposal, £-   
Cabinet Office,Commission for the Compact,Vehicles,Vehicle Maintenance, £-   
Cabinet Office,Commission for the Compact,Vehicles,Uncategorised, £-   
